Kraj,Rok, Administrativní a podpůrné činnosti, Doprava a skladování, Informační a komunikační činnosti," Kulturní, zábavní a rekreační činnosti", Ostatní činnosti, Peněžnictví a pojišťovnictví," Profesní, vědecké a technické činnosti", Stavebnictví, Těžba a dobývání," Ubytování, stravování a pohostinství", Velkoobchod a maloobchod; opravy a údržba motorových vozidel, Veřejná správa a obrana; povinné sociální zabezpečení, Vzdělávání," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu", Zdravotní a sociální péče," Zemědělství, lesnictví, rybářství", Zpracovatelský průmysl," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi", Činnosti v oblasti nemovitostí
Karlovarský kraj,2023,26843,35283,37314,33340,25537,50290,30929,31921,49220,25211,30559,42407,38561,46627,38874,35493,35599,34975,29195
Karlovarský kraj,2024,27189,38574,52991,34268,26322,55764,37963,33884,45717,26468,33178,43719,39196,49872,41915,37830,37720,36389,29703
Královéhradecký kraj,2005,10580,16219,25744,13625,12088,26570,18452,16005,21455,9461,14033,21102,16320,26267,16620,14277,16019,15410,13229
Královéhradecký kraj,2006,11582,16235,25891,14227,12580,29807,18858,16759,23370,9973,14943,22152,17411,29444,17697,15003,17126,17694,13760
Královéhradecký kraj,2007,13411,17242,25969,15624,14140,25816,19847,18261,24186,10376,15900,22698,18314,30460,18528,16192,18516,19389,15399
Královéhradecký kraj,2008,13304,18829,29851,16720,14012,30386,20825,18975,25523,11206,17746,25349,19225,32727,19899,18196,20388,21766,15818
Královéhradecký kraj,2009,13828,19388,30339,17214,14989,37541,21861,21302,30634,10816,17530,25944,20573,35018,20998,17878,20482,22604,18359
Královéhradecký kraj,2010,13748,19484,29263,17492,14960,33289,20822,20475,30605,11375,17467,25211,19801,34603,21632,18650,21829,24852,15642
Královéhradecký kraj,2011,13182,19640,31039,17283,16424,34937,21605,20719,25461,11709,17977,24319,20464,38201,22722,19459,22381,24480,17203
Královéhradecký kraj,2012,14654,19410,32156,21636,15586,35979,21960,20399,31360,11918,18857,24905,20908,39676,23518,20708,23261,26088,16370
Královéhradecký kraj,2013,14623,19511,31509,17737,15194,34959,22648,20016,26006,11518,17963,24939,20662,38107,23399,21452,23432,26109,16541
Královéhradecký kraj,2014,15381,20063,33281,19269,15129,33084,23042,20673,24767,12100,19250,25800,21121,37953,24028,22141,24112,26035,17713
Královéhradecký kraj,2015,16081,21984,33824,19838,15643,31272,23789,21760,24711,12872,19851,27442,21468,38587,25396,23018,24567,27888,17956
Královéhradecký kraj,2016,16975,24247,35176,20882,16131,34373,24646,22178,25176,13948,20702,28284,22335,39640,26870,23836,25878,24765,19370
Královéhradecký kraj,2017,17642,24072,35196,22188,16874,36690,26975,23453,25320,15305,22738,30842,24005,42081,28771,25798,28406,25647,20019
Královéhradecký kraj,2018,19772,25949,38457,25183,18260,39152,28363,25707,29051,17524,24656,33672,26548,45466,31670,27441,31205,27618,22805
Královéhradecký kraj,2019,22050,28239,40786,23971,19980,40005,30528,27960,29564,19076,26542,38671,30190,48850,34182,29495,33288,28949,24173
Královéhradecký kraj,2020,23765,29032,43261,26873,20790,42235,30702,28824,29509,18990,27624,37794,33196,50662,38448,31215,33851,30624,25187
Královéhradecký kraj,2021,24340,30161,46531,27751,22567,53030,32693,30123,31998,20995,29202,38528,35794,52636,43028,32342,35402,29189,24353
Královéhradecký kraj,2022,27373,32358,46985,29303,22108,48027,32982,30197,34530,21429,30424,39951,35749,56132,40021,34234,37555,31687,25875
Královéhradecký kraj,2023,28130,33905,51470,31466,24302,50715,35875,33165,35675,22723,32332,42967,37185,60199,42246,36433,40709,35500,28271
Královéhradecký kraj,2024,29017,35899,57656,33562,25456,58017,37124,35627,38147,23924,34356,44075,37869,64914,45834,38155,43175,40566,31877
Liberecký kraj,2005,9950,16360,29132,13937,11136,26612,18889,15469,21807,9074,14266,19075,16177,21376,15943,13211,16802,16521,13776
Liberecký kraj,2006,10725,16623,25477,14911,12459,27281,19612,16575,23082,9708,14586,19550,17304,21501,17264,14523,17921,17573,13936
Liberecký kraj,2007,11860,17831,24932,15615,13408,28581,21314,18170,24316,10267,15772,21526,18442,21146,17804,15551,19402,18037,15323
Liberecký kraj,2008,12526,18651,27877,17719,14200,30882,23507,19238,26483,10345,17192,22844,19078,21871,19439,16516,21162,19088,13757
Liberecký kraj,2009,12078,19183,30642,17377,14015,32138,25231,19324,27012,10177,17566,22666,20537,25904,20880,16332,21945,19562,18505
Liberecký kraj,2010,11958,19934,28626,16857,13372,32973,24722,19820,27109,10911,16682,22954,20050,24008,21332,16407,22991,20570,15278
Liberecký kraj,2011,12160,19947,30794,17456,14133,32950,25556,20651,28542,11262,17670,23600,20667,25768,22678,17286,23649,22751,18561
Liberecký kraj,2012,11690,20172,31293,17370,14315,35220,26387,20284,28951,10850,18492,23888,21020,27196,22756,18830,24684,20550,18903
Liberecký kraj,2013,13689,23229,30556,17759,13462,32826,25972,20430,29078,11094,18569,23763,21461,27602,21139,18917,24956,20798,17761
Liberecký kraj,2014,13402,23912,32865,18159,13490,33672,25752,21872,29592,11146,19059,24628,21982,27724,23130,19480,25657,21309,18175
Liberecký kraj,2015,13189,23381,34430,18519,14259,30968,26456,22858,29053,12457,19957,25327,22331,28317,24241,20025,26522,21389,18785
Liberecký kraj,2016,15440,24211,36356,20716,14847,35618,27167,23072,30087,13503,21057,26943,23454,29790,25232,20714,27436,22557,20930
Liberecký kraj,2017,16422,24134,38217,22532,16826,36419,30316,24692,32243,15645,22979,29350,25152,33392,27598,20891,28761,24415,21884
Liberecký kraj,2018,16610,25916,41382,24523,18332,38616,32914,27047,34421,16454,24576,32614,27945,35524,30020,22713,31620,27185,23878
Liberecký kraj,2019,17805,31524,44583,28804,19418,40873,33746,28983,36453,17985,26000,37008,31463,38366,32052,25544,32892,27782,24997
Liberecký kraj,2020,18130,32092,45974,26382,20553,41731,35193,29908,37688,17458,26710,36980,33498,42139,37092,26957,32563,28923,25730
Liberecký kraj,2021,20065,29612,46418,27177,21870,41034,36771,30851,39153,19778,26993,37512,36225,42562,39717,28104,34421,32867,27213
Liberecký kraj,2022,20087,31796,49534,27346,20825,45412,38302,31687,42215,21003,29208,38806,36449,45224,37359,30069,36189,31431,29623
Liberecký kraj,2023,21594,33670,55488,30290,21169,49608,40124,34605,45999,21554,31585,41675,38120,50302,40334,32011,38943,35187,30280
Liberecký kraj,2024,23425,36242,61437,32198,23239,53481,43547,36533,49271,23258,34782,43154,38407,52612,43994,32776,42194,36320,34787
Moravskoslezský kraj,2005,10414,16182,28139,13971,11998,26081,19082,15551,23772,8658,13789,21013,17250,24327,15957,13166,17834,16485,14602
Moravskoslezský kraj,2006,11313,17094,27356,14622,12785,27937,19469,16306,25730,9136,14692,22154,18228,26227,17402,14078,18642,17440,15716
Moravskoslezský kraj,2007,11720,18585,31732,15219,13554,27725,21497,17633,27977,9506,15945,23701,19427,27776,18684,15502,20099,19122,16487
Moravskoslezský kraj,2008,13598,20520,33774,16320,14454,31006,23248,19086,32998,9843,17261,25061,20127,30424,19441,17262,21636,19761,18819
Moravskoslezský kraj,2009,13689,20888,32890,17265,15128,31047,23855,20576,29190,9764,17475,26291,21416,31894,21341,16809,21561,20008,19558
Moravskoslezský kraj,2010,13714,21014,31747,17688,15911,30345,24501,20223,33165,10448,17144,25726,20924,33610,21731,17130,22481,20570,17930
Moravskoslezský kraj,2011,14223,22401,33376,17566,15904,29503,24268,20785,34933,10303,18136,25105,21099,34413,22863,17533,23368,20894,19597
Moravskoslezský kraj,2012,14318,21494,33437,21080,16275,27852,24775,20386,35657,10444,18217,25649,21499,35786,23342,18707,23809,21435,17546
Moravskoslezský kraj,2013,14252,20884,34108,17987,16173,28649,24268,19932,34035,10545,17958,25748,21785,34839,23219,19493,24429,21525,19877
Moravskoslezský kraj,2014,15036,21751,34325,18372,16826,28292,24493,20549,32817,11196,18716,26045,22155,34086,23777,20021,25394,22705,19590
Moravskoslezský kraj,2015,16255,22366,35365,19454,16626,29435,25443,20793,32762,12182,19597,27329,22490,35682,24920,20402,26128,23043,21120
Moravskoslezský kraj,2016,17437,23218,36045,20007,16577,31987,25227,21142,31482,12821,20705,28713,23274,36890,25878,20995,26951,23956,22572
Moravskoslezský kraj,2017,18687,25445,38433,21346,18158,32990,26531,22342,34571,13995,22313,30948,24896,38162,28168,22478,28425,25617,22517
Moravskoslezský kraj,2018,19829,26878,41985,23665,19616,36011,27553,24295,39175,15103,24164,33959,27414,40134,30885,23946,30555,26778,23422
Moravskoslezský kraj,2019,20647,28350,43609,26615,20868,38067,28570,26446,38849,16260,25539,35782,30715,42438,33473,25874,31705,28722,27212
Moravskoslezský kraj,2020,20471,29021,45356,27451,21667,38490,30390,27366,37569,15633,26126,38420,33328,44251,37430,27001,32421,30634,28421
Moravskoslezský kraj,2021,21943,31176,47089,27857,24143,40806,33029,28795,42333,18221,28582,38719,35859,46552,41140,27712,34298,31278,28246
Moravskoslezský kraj,2022,22335,33247,51326,28039,24644,43907,34971,29280,46951,18308,29454,40154,36128,50395,38916,29191,36181,33503,28924
Moravskoslezský kraj,2023,23768,36042,56555,30681,27119,47928,37664,32568,51094,19562,31685,43449,38006,56420,41312,30647,39292,36933,31452
Moravskoslezský kraj,2024,25074,38793,60235,32183,29180,53672,40860,34342,54292,21928,33550,44854,38870,57739,44375,30854,41525,39562,36139
Olomouckáý kraj,2005,9704,16358,25593,12951,11994,21878,17545,15288,19079,8565,13571,20521,16787,18206,16449,13268,15765,15789,13630
Olomouckáý kraj,2006,10394,17345,24362,14037,12867,25305,18830,16759,21371,9185,14838,21326,18073,20021,17706,13935,16733,17315,13426
Olomouckáý kraj,2007,10887,18827,27527,14517,13931,28021,20055,17683,23208,9532,15966,22668,19009,21318,18946,15646,18194,18557,14208
Olomouckáý kraj,2008,12225,19638,27818,15841,14326,28923,20261,22037,24291,9671,17349,23500,19679,23219,19607,17019,19337,19109,15432
Olomouckáý kraj,2009,12416,19157,34235,16501,14589,34832,21320,22496,24572,9404,16900,23583,20853,24872,21032,17412,19959,20297,17378
Olomouckáý kraj,2010,12947,20999,31711,17032,15172,31470,20638,20200,25371,10160,17682,24773,20617,25482,22156,17724,20494,22763,16398
Olomouckáý kraj,2011,14664,21734,29366,17425,14903,33916,21778,20353,26556,10535,17652,23878,20863,27007,23583,18519,21770,21238,16696
Olomouckáý kraj,2012,14646,20943,29912,17453,14820,31879,25507,20424,24885,10590,19860,24153,21435,31041,23971,18871,22744,21421,17318
Olomouckáý kraj,2013,13131,21119,28376,17613,15343,27533,23401,20474,25468,10857,18756,23505,22128,27183,24246,20171,22748,21109,17454
Olomouckáý kraj,2014,12422,21202,30002,18316,14587,31601,23907,20960,26225,11384,19324,25297,22770,28548,24979,21577,23409,21381,17174
Olomouckáý kraj,2015,13570,22611,30191,18814,14981,29942,23607,22000,28385,12311,20046,25938,22921,30199,26038,21314,24304,21202,18705
Olomouckáý kraj,2016,14163,23071,30228,19703,15325,32898,26405,22710,29196,13063,21051,27545,23510,32027,27214,22030,25547,22351,18899
Olomouckáý kraj,2017,14225,24983,34333,21033,16832,33498,28028,25306,30982,14626,23239,30155,25057,33558,29119,23306,26598,23415,20794
Olomouckáý kraj,2018,15452,26755,37320,23528,18513,36035,29481,26988,33822,15877,25072,33310,27851,36108,31972,25042,28973,25583,22067
Olomouckáý kraj,2019,16534,28458,38427,25278,19671,39206,30857,28451,37724,17504,26948,35677,31174,40114,35045,26972,30450,26670,24872
Olomouckáý kraj,2020,16027,29221,40631,26630,20954,39409,31551,30052,37228,17112,27990,37375,33758,43141,39741,28227,31147,28042,24978
Olomouckáý kraj,2021,16851,31536,42890,27603,22841,41635,33227,31133,36252,19168,29623,37894,36041,44809,43241,29503,33187,29670,26071
Olomouckáý kraj,2022,17934,33465,45601,27158,22851,42329,33904,32774,39160,19799,30959,39073,36359,49323,40313,31493,35383,32003,28269
Olomouckáý kraj,2023,17913,34821,49968,29337,24732,44864,36386,34510,43037,21121,33463,42346,37688,52968,42398,33093,37797,34813,29490
Olomouckáý kraj,2024,20689,38167,54624,32116,27439,52793,38370,35676,47279,22837,36344,43341,38545,54416,45653,35264,40581,38010,31698
