Kraj,Převažující činnost,Rok,Mzda_Kc
Pardubický kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2005,19302
Pardubický kraj, Vzdělávání,2005,16565
Pardubický kraj, Zdravotní a sociální péče,2005,15511
Pardubický kraj," Kulturní, zábavní a rekreační činnosti",2005,13697
Pardubický kraj, Ostatní činnosti,2005,12459
Plzeňský kraj," Zemědělství, lesnictví, rybářství",2005,14081
Plzeňský kraj, Těžba a dobývání,2005,18579
Plzeňský kraj, Zpracovatelský průmysl,2005,17299
Plzeňský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,25694
Plzeňský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,15965
Plzeňský kraj, Stavebnictví,2005,15734
Plzeňský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,14342
Plzeňský kraj, Doprava a skladování,2005,16403
Plzeňský kraj," Ubytování, stravování a pohostinství",2005,8822
Plzeňský kraj, Informační a komunikační činnosti,2005,28414
Plzeňský kraj, Peněžnictví a pojišťovnictví,2005,26776
Plzeňský kraj, Činnosti v oblasti nemovitostí,2005,14965
Plzeňský kraj," Profesní, vědecké a technické činnosti",2005,18739
Plzeňský kraj, Administrativní a podpůrné činnosti,2005,11888
Plzeňský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2005,21514
Plzeňský kraj, Vzdělávání,2005,16984
Plzeňský kraj, Zdravotní a sociální péče,2005,17526
Plzeňský kraj," Kulturní, zábavní a rekreační činnosti",2005,15114
Plzeňský kraj, Ostatní činnosti,2005,11633
Praha," Zemědělství, lesnictví, rybářství",2005,14676
Praha, Těžba a dobývání,2005,27003
Praha, Zpracovatelský průmysl,2005,21827
Praha," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,33462
Praha," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,20592
Praha, Stavebnictví,2005,21051
Praha, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,21622
Praha, Doprava a skladování,2005,25033
Praha," Ubytování, stravování a pohostinství",2005,12866
Praha, Informační a komunikační činnosti,2005,38985
Praha, Peněžnictví a pojišťovnictví,2005,44047
Praha, Činnosti v oblasti nemovitostí,2005,19701
Praha," Profesní, vědecké a technické činnosti",2005,27204
Praha, Administrativní a podpůrné činnosti,2005,13929
Praha, Veřejná správa a obrana; povinné sociální zabezpečení,2005,25314
Praha, Vzdělávání,2005,18647
Praha, Zdravotní a sociální péče,2005,19107
Praha," Kulturní, zábavní a rekreační činnosti",2005,17140
Praha, Ostatní činnosti,2005,16805
Středočeský kraj," Zemědělství, lesnictví, rybářství",2005,13901
Středočeský kraj, Těžba a dobývání,2005,18889
Středočeský kraj, Zpracovatelský průmysl,2005,19203
Středočeský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,24577
Středočeský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,16933
Středočeský kraj, Stavebnictví,2005,15113
Středočeský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,16910
Středočeský kraj, Doprava a skladování,2005,16648
Středočeský kraj," Ubytování, stravování a pohostinství",2005,9026
Středočeský kraj, Informační a komunikační činnosti,2005,21374
Středočeský kraj, Peněžnictví a pojišťovnictví,2005,26754
Středočeský kraj, Činnosti v oblasti nemovitostí,2005,12929
Středočeský kraj," Profesní, vědecké a technické činnosti",2005,19473
Středočeský kraj, Administrativní a podpůrné činnosti,2005,11261
Středočeský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2005,20809
Středočeský kraj, Vzdělávání,2005,16196
Středočeský kraj, Zdravotní a sociální péče,2005,15752
Středočeský kraj," Kulturní, zábavní a rekreační činnosti",2005,13540
Středočeský kraj, Ostatní činnosti,2005,11170
Ústecký kraj," Zemědělství, lesnictví, rybářství",2005,13333
