Kraj,Rok,Odvetvi,Pocet_zamestnancu
Jihomoravský kraj,2004,"Profesní, vědecké a technické činnosti",19590
Jihomoravský kraj,2004,Stavebnictví,55107
Jihomoravský kraj,2004,Těžba a dobývání,1862
Jihomoravský kraj,2004,"Ubytování, stravování a pohostinství",15824
Jihomoravský kraj,2004,Velkoobchod a maloob.; opr. mot. vozidel,62933
Jihomoravský kraj,2004,Veřejná správa a obrana; pov. soc. zabezp.,29075
Jihomoravský kraj,2004,Vzdělávání,34629
Jihomoravský kraj,2004,"Výroba a rozvod elektřiny, plynu, tepla",7129
Jihomoravský kraj,2004,Zdravotní a sociální péče,35342
Jihomoravský kraj,2004,"Zemědělství, lesnictví a rybářství",24745
Jihomoravský kraj,2004,Zpracovatelský průmysl,127021
Jihomoravský kraj,2004,Zásob. vodou; činnosti souvis. s odpady,4160
Jihomoravský kraj,2004,Činnosti v oblasti nemovitostí,3594
Jihomoravský kraj,2005,Administrativní a podpůrné činnosti,13067
Jihomoravský kraj,2005,Doprava a skladování,32628
Jihomoravský kraj,2005,Informační a komunikační činnosti,13461
Jihomoravský kraj,2005,"Kulturní, zábavní a rekreační činnosti",5697
Jihomoravský kraj,2005,Ostatní činnosti,10552
Jihomoravský kraj,2005,Peněžnictví a pojišťovnictví,9721
Jihomoravský kraj,2005,"Profesní, vědecké a technické činnosti",20751
Jihomoravský kraj,2005,Stavebnictví,53805
Jihomoravský kraj,2005,Těžba a dobývání,1441
Jihomoravský kraj,2005,"Ubytování, stravování a pohostinství",16381
Jihomoravský kraj,2005,Velkoobchod a maloob.; opr. mot. vozidel,63310
Jihomoravský kraj,2005,Veřejná správa a obrana; pov. soc. zabezp.,33677
Jihomoravský kraj,2005,Vzdělávání,34746
Jihomoravský kraj,2005,"Výroba a rozvod elektřiny, plynu, tepla",6322
Jihomoravský kraj,2005,Zdravotní a sociální péče,38635
Jihomoravský kraj,2005,"Zemědělství, lesnictví a rybářství",19852
Jihomoravský kraj,2005,Zpracovatelský průmysl,132315
Jihomoravský kraj,2005,Zásob. vodou; činnosti souvis. s odpady,4243
Jihomoravský kraj,2005,Činnosti v oblasti nemovitostí,2822
Jihomoravský kraj,2006,Administrativní a podpůrné činnosti,12770
Jihomoravský kraj,2006,Doprava a skladování,32174
Jihomoravský kraj,2006,Informační a komunikační činnosti,13125
Jihomoravský kraj,2006,"Kulturní, zábavní a rekreační činnosti",8298
Jihomoravský kraj,2006,Ostatní činnosti,8866
Jihomoravský kraj,2006,Peněžnictví a pojišťovnictví,9674
Jihomoravský kraj,2006,"Profesní, vědecké a technické činnosti",20121
Jihomoravský kraj,2006,Stavebnictví,54133
Jihomoravský kraj,2006,Těžba a dobývání,2256
Jihomoravský kraj,2006,"Ubytování, stravování a pohostinství",15542
Jihomoravský kraj,2006,Velkoobchod a maloob.; opr. mot. vozidel,63481
Jihomoravský kraj,2006,Veřejná správa a obrana; pov. soc. zabezp.,34408
Jihomoravský kraj,2006,Vzdělávání,38785
Jihomoravský kraj,2006,"Výroba a rozvod elektřiny, plynu, tepla",5519
Jihomoravský kraj,2006,Zdravotní a sociální péče,33925
Jihomoravský kraj,2006,"Zemědělství, lesnictví a rybářství",18487
Jihomoravský kraj,2006,Zpracovatelský průmysl,134912
Jihomoravský kraj,2006,Zásob. vodou; činnosti souvis. s odpady,4993
Jihomoravský kraj,2006,Činnosti v oblasti nemovitostí,3799
Jihomoravský kraj,2007,Administrativní a podpůrné činnosti,13051
Jihomoravský kraj,2007,Doprava a skladování,30466
Jihomoravský kraj,2007,Informační a komunikační činnosti,14653
Jihomoravský kraj,2007,"Kulturní, zábavní a rekreační činnosti",8290
Jihomoravský kraj,2007,Ostatní činnosti,8746
Jihomoravský kraj,2007,Peněžnictví a pojišťovnictví,10011
Jihomoravský kraj,2007,"Profesní, vědecké a technické činnosti",23531
Jihomoravský kraj,2007,Stavebnictví,57494
Jihomoravský kraj,2007,Těžba a dobývání,928
Jihomoravský kraj,2007,"Ubytování, stravování a pohostinství",19198
Jihomoravský kraj,2007,Velkoobchod a maloob.; opr. mot. vozidel,57070
Jihomoravský kraj,2007,Veřejná správa a obrana; pov. soc. zabezp.,32805
Jihomoravský kraj,2007,Vzdělávání,41627
Jihomoravský kraj,2007,"Výroba a rozvod elektřiny, plynu, tepla",5738
Jihomoravský kraj,2007,Zdravotní a sociální péče,34424
Jihomoravský kraj,2007,"Zemědělství, lesnictví a rybářství",20244
Jihomoravský kraj,2007,Zpracovatelský průmysl,143365
Jihomoravský kraj,2007,Zásob. vodou; činnosti souvis. s odpady,4469
Jihomoravský kraj,2007,Činnosti v oblasti nemovitostí,5167
Jihomoravský kraj,2008,Administrativní a podpůrné činnosti,12404
Jihomoravský kraj,2008,Doprava a skladování,31363
Jihomoravský kraj,2008,Informační a komunikační činnosti,14004
Jihomoravský kraj,2008,"Kulturní, zábavní a rekreační činnosti",7027
Jihomoravský kraj,2008,Ostatní činnosti,11836
Jihomoravský kraj,2008,Peněžnictví a pojišťovnictví,10995
Jihomoravský kraj,2008,"Profesní, vědecké a technické činnosti",24872
Jihomoravský kraj,2008,Stavebnictví,56959
Jihomoravský kraj,2008,Těžba a dobývání,2953
Jihomoravský kraj,2008,"Ubytování, stravování a pohostinství",18214
Jihomoravský kraj,2008,Velkoobchod a maloob.; opr. mot. vozidel,61980
Jihomoravský kraj,2008,Veřejná správa a obrana; pov. soc. zabezp.,33325
Jihomoravský kraj,2008,Vzdělávání,36648
Jihomoravský kraj,2008,"Výroba a rozvod elektřiny, plynu, tepla",7344
Jihomoravský kraj,2008,Zdravotní a sociální péče,31190
Jihomoravský kraj,2008,"Zemědělství, lesnictví a rybářství",15586
Jihomoravský kraj,2008,Zpracovatelský průmysl,149883
Jihomoravský kraj,2008,Zásob. vodou; činnosti souvis. s odpady,4645
Jihomoravský kraj,2008,Činnosti v oblasti nemovitostí,5535
Jihomoravský kraj,2009,Administrativní a podpůrné činnosti,13643
Jihomoravský kraj,2009,Doprava a skladování,32444
Jihomoravský kraj,2009,Informační a komunikační činnosti,16989
Jihomoravský kraj,2009,"Kulturní, zábavní a rekreační činnosti",8373
Jihomoravský kraj,2009,Ostatní činnosti,11364
Jihomoravský kraj,2009,Peněžnictví a pojišťovnictví,11640
Jihomoravský kraj,2009,"Profesní, vědecké a technické činnosti",26317
Jihomoravský kraj,2009,Stavebnictví,58552
Jihomoravský kraj,2009,Těžba a dobývání,2056
Jihomoravský kraj,2009,"Ubytování, stravování a pohostinství",16966
Jihomoravský kraj,2009,Velkoobchod a maloob.; opr. mot. vozidel,63961
Jihomoravský kraj,2009,Veřejná správa a obrana; pov. soc. zabezp.,36351
Jihomoravský kraj,2009,Vzdělávání,36654
Jihomoravský kraj,2009,"Výroba a rozvod elektřiny, plynu, tepla",6414
Jihomoravský kraj,2009,Zdravotní a sociální péče,38985
Jihomoravský kraj,2009,"Zemědělství, lesnictví a rybářství",13809
Jihomoravský kraj,2009,Zpracovatelský průmysl,126022
Jihomoravský kraj,2009,Zásob. vodou; činnosti souvis. s odpady,4221
Jihomoravský kraj,2009,Činnosti v oblasti nemovitostí,3670
Jihomoravský kraj,2010,Administrativní a podpůrné činnosti,10031
Jihomoravský kraj,2010,Doprava a skladování,36018
Jihomoravský kraj,2010,Informační a komunikační činnosti,14658
Jihomoravský kraj,2010,"Kulturní, zábavní a rekreační činnosti",8972
Jihomoravský kraj,2010,Ostatní činnosti,14206
Jihomoravský kraj,2010,Peněžnictví a pojišťovnictví,12368
Jihomoravský kraj,2010,"Profesní, vědecké a technické činnosti",32318
Jihomoravský kraj,2010,Stavebnictví,51949
Jihomoravský kraj,2010,Těžba a dobývání,1480
Jihomoravský kraj,2010,"Ubytování, stravování a pohostinství",20064
Jihomoravský kraj,2010,Velkoobchod a maloob.; opr. mot. vozidel,63476
Jihomoravský kraj,2010,Veřejná správa a obrana; pov. soc. zabezp.,38664
Jihomoravský kraj,2010,Vzdělávání,32574
Jihomoravský kraj,2010,"Výroba a rozvod elektřiny, plynu, tepla",6878
Jihomoravský kraj,2010,Zdravotní a sociální péče,38421
Jihomoravský kraj,2010,"Zemědělství, lesnictví a rybářství",15654
Jihomoravský kraj,2010,Zpracovatelský průmysl,124366
Jihomoravský kraj,2010,Zásob. vodou; činnosti souvis. s odpady,4703
Jihomoravský kraj,2010,Činnosti v oblasti nemovitostí,3486
Jihomoravský kraj,2011,Administrativní a podpůrné činnosti,12861
Jihomoravský kraj,2011,Doprava a skladování,37313
Jihomoravský kraj,2011,Informační a komunikační činnosti,15254
Jihomoravský kraj,2011,"Kulturní, zábavní a rekreační činnosti",8421
